Which planet is known as the Red Planet?;Venus;Mars;Jupiter;Saturn;2
"Band: "" _________ And the Bad Seeds""";Bruce Springsteen;Eric Clapton;Elvis Presley;Nick Cave;4
Secret Identities: Arthur Curry;Batman;Aquaman;Spider-Man;Superman;2
Who invented the electrical bass?;Les Paul;Rickenbacker;Leo Fender;John Entwistle;3
Mentor of Titan had two children in the Marvel comics, Thanos and ____;Loki;Galactus;Kang;Ero;4
Green Lantern's alter ego;Bruce Wayne;Hal Jordan;Peter Parker;Clark Kent;2
What did Peppermint Patty always call Charlie Brown;Baldy;Chuck;Sport;Chief;2
Which brand of guitar is played by Jimmy Page, Slash, and Brian May?;Ibanez JEM;PRS Custom 24;Fender Stratocaster;Gibson Les Paul;4
When not a Birdman, what does Ray Randall do for a living?;Mechanic;Police officer;Firefighter;Teacher;2
In a 1976 release, who wanted to 'fly like an eagle'?;Led Zeppelin;The Eagles;Fleetwood Mac;Steve Miller Band;4
Who was 'hooked on a feeling'?;The Rolling Stones;The Beatles;The Who;Blue Suede;4
Ian Gillain is the singer for this legendary band;Black Sabbath;Deep Purple;Led Zeppelin;The Who;2
How many storm troopers were seen in Star Trek?;One Hundred;None (It Was Star Wars);Twenty;Fifty;2
Who wrote the song 'Do They Know It's Christmas' with Bob Geldof?;Midge Ure;Freddie Mercury;David Bowie;Elton John;1
What group's biggest-ever hit was Be My Baby?;The Supremes;The Crystals;The Shirelles;The Ronettes;4
"Through 1963 this duo's total record sales exceeded 18 million with successes including ""Cathy's Clown"" and ""Wake Up Little Suzie"".";The Beach Boys;Simon & Garfunkel;The Everly Brothers;The Righteous Brothers;3
Name the ranger who was always after Yogi Bear.;Rick;Ranger Bob;Ranger Smith;Ranger Joe;1
Who plays many voices, such as Dr Nick, and Moe on 'The Simpsons'?;Dan Castellaneta;Julie Kavner;Harry Shearer;Hank Azaria;4
This film was an ambitious concert sequence of cartoons by Walt Disney.;Fantasia;Snow White;Dumbo;Cinderella;1
Name the fastest mouse in all of Mexico.;Mighty Mouse;Mickey Mouse;Jerry;Speedy Gonzalez;4
What is the frog's name in 'The Muppet Show'?;Kermit D Frog;Miss Piggy;Gonzo;Fozzie Bear;1
"Who recorded the 1957 hit ""Tammy""?";Patti Page;Brenda Lee;Connie Francis;Debby Reynolds;4
What Marlon Brando film was widely banned?;The Godfather;Last Tango In Paris;A Streetcar Named Desire;On the Waterfront;2
"What country was the setting for ""The King and I""?";China;Japan;India;Siam (Thailand);4
Girlfriend of Lex Luther II;Lois Lane;Catwoman;Supergirl;Wonder Woman;3
"Who starred with John Travolta in the movie ""Broken Arrow""?";Christian Slater;Bruce Willis;Tom Cruise;Nicolas Cage;1
Who began his career with 'The Yardbirds' and established himself as one of the best rock guitarists of his generation?;Jimi Hendrix;Jeff Beck;Eric Clapton;Jimmy Page;3
"She played Lois Lane in the 1978 film version of ""Superman"".";Teri Hatcher;Kate Bosworth;Margot Kidder;Dana Delany;3
"What was the setting for ""The Sound of Music""?";France;Switzerland;Germany;Austria;4
In 'Star Wars', who was C3P0's sidekick?;R2D2;Han Solo;Chewbacca;BB-8;1
On what T.V. show could Tom Terrific be found;The Electric Company;Mister Rogers' Neighborhood;Sesame Street;Captain Kangaroo;4
"Besides ""Auld Lang Syne"" and ""For He's a Jolly Good Fellow"", what is the most frequently sung song in English?";Twinkle, Twinkle Little Star;Jingle Bells;Silent Night;Happy Birthday;4
What is a violoncello usually called?;Bass;Viola;Violin;Cello;4
What was the first cartoon to feature sound;Mickey Mouse;Steamboat Willie;Fantasia;The Jazz Singer;2
Who was Dick Dastardly's pet?;Muttley;Fido;Spot;Rover;1
From where was Ricky in 'I Love Lucy'?;Spain;Cuba;Mexico;Puerto Rico;2
What is Elton John's real name?;Gordon Sumner;Reginald Dwight;David Jones;Paul Hewson;2
"What was the original name of ""Little Rascals""?";Tiny Tots;Our Gang;Mischief Makers;Little Scamps;2
What is Cape Town's major choir called?;Symphony Choir;Philharmonic choir;Choral Society;Chamber Choir;2
What was the original name of Paul McCartney's fictional church cleaner 'Eleanor Rigby'?;Mrs. McCartney;Miss Daisy Hawkins;Lady Madonna;Lily Lennon;2
Who married Shania Twain?;"Robert ""Mutt"" Lange";Billy Ray Cyrus;Toby Keith;Garth Brooks;1
For which film did Art Carney win best actor Oscar in 1974?;Blazing Saddles;Chinatown;Harry and Tonto;The Godfather Part II;3
"This magic word was in the movie, ""Mary Poppins"".";Abracadabra;Supercalifragilisticexpialidocious;Hocus Pocus;Bibbidi-Bobbidi-Boo;2
Where did George of the Jungle live;Amazon Rainforest;Tarzan's Forest;Imgwee gwee valley;Congo Jungle;3
"Who played the lead in the movie ""Mission Impossible""?";Harrison Ford;Keanu Reeves;Matt Damon;Tom Cruise;4
"Darth Vader was the villain in the movie, ""____ Wars"".";Trek Wars;Clone Wars;Star Wars;Galaxy Wars;3
Vincent Vega appeared in which movie?;Reservoir Dogs;Scarface;Pulp Fiction;Goodfellas;3
What was the last Beatles album to be released before they broke up in 1970?;Let It Be;Revolver;Abbey Road;Sgt. Pepper's Lonely Hearts Club Band;1
Who played Kevin Hathaway on the soapie 'Days Of Our Lives'?;Stephen Nichols;Peter Reckell;John Aniston;Pat Sajak;4
What was the name of Ross' pet monkey on 'Friends'?;Bobo;Marcel;Koko;George;2
What was the first cartoon character called?;Mickey Mouse;Oswald the Rabbit;Betty Boop;Felix the Cat;2
What composer was working on his 10th symphony at the time of his death?;Wolfgang Amadeus Mozart;Franz Schubert;Ludwig van Beethoven;Johann Sebastian Bach;3
Popeye's chief adversary has two names, Bluto and ______?;Brutus;Bruno;Barnacle;Boris;1
What did Hannibal Lecter like to eat with liver?;Mashed Potatoes;Fava Beans;Chianti;Garlic Bread;2
Actor: __________ Nimoy.;Leonard;James;William;Patrick;1
Which large tuned orchestral drum is also known as a kettledrum?;Tom-Tom;Snare;Tympani;Bass Drum;3
Where does George Jetson work?;Cogswell Cogs;Rosie Robots;Skyway 7;Spacely Sprockets;4
"Name the band - songs include ""Mystify, Listen Like Thieves, Original Sin""?";The Police;Depeche Mode;INXS;U2;3
This was the first 3-D film.;Creature from the Black Lagoon;Bwana Devil;Dial M for Murder;House of Wax;2
Bill Justis was a studio musician when he recorded this 'sloppy' instrumental in October 1957?;Tequila;Raunchy;Green Onions;Miserlou;2
Who always tried to kill Krazy Kat?;Captain Marvel;Sylvester;Tom Cat;Ignatz Mouse;1
Where did George Harrison discover gold?;California;Yukon;Alaska;Witwatersrand;4
To play music smoothly?;Allegro;Legato;Staccato;Crescendo;2
Where are Rocket J. Squirrel and Bullwinkle Moose from?;Frostbite Falls;Whispering Pines;Moose Jaw;Avalanche Peak;1
Secret Identities: Clark Kent;Spider-Man;Superman;Batman;Iron Man;2
Younger version of Aquaman;Kid Flash;Speedy;Aqualad;Robin;3
Whose films include 'Giant', 'Written On The Wind' and 'A Farewell To Arms'?;Rock Hudson;James Dean;Clark Gable;Cary Grant;1
What is the term used for 'slowly' in music?;Lento;Andante;Presto;Adagio;1
Who wrote Tubular Bells?;Brian Eno;Mike Oldfield;Vangelis;Jean-Michel Jarre;2
Who was a member of 'Crosby, Stills and Nash' and 'The Hollies'?;Graham Nash;David Crosby;Stephen Stills;Neil Young;1
As who is Terry Bollea known?;John Cena;The Rock;Hulk Hogan;Stone Cold Steve Austin;3
Name the European hit, now an animated series about underwater people.;The Smurfs;The Snorks;Aquaman;Mermaids;2
What is the name of Jaleel White's character in the TV series 'Family Ties'?;Alex P. Keaton;Skippy Handleman;Steve Urkel;Nick Moore;3
"What was the name of the motel in the film ""Psycho""?";Overlook Hotel;Hitchcock Lodge;Bates Motel;Norman's Inn;3
Who played Louis in 'Interview With The Vampire'?;Tom Cruise;Antonio Banderas;Christian Slater;Brad Pitt;4
In the 60s Monkees song 'Here Comes Tomorrow', who does Davy Jones say he loves?;Lisa and Laura;Martha and Jane;Sandra and Mary;Susie and Jenny;3
Which superhero loves peace enough to kill for it?;Wolverine;Punisher;Peacemaker;Deadpool;3
Who sings 'Sweet Home Alabama'?;The Allman Brothers Band;Lynyrd Skynyrd;Creedence Clearwater Revival;ZZ Top;2
The Rolling Stones first recorded song was?;Come On;Brown Sugar;Jumpin' Jack Flash;Satisfaction;1
Who was Miss Hungary in 1936?;Marlene Dietrich;Eva Gabor;Zsa-Zsa Gabor;Hedy Lamarr;3
This movie directed by Woody Allen won the best picture Oscar in 1978.;Manhattan;Bananas;Sleeper;Annie Hall;4
What was the relationship between Superman and Supergirl?;Enemies;Friends;Cousins;Siblings;3
Who played the 'Universal Soldier'?;Sylvester Stallone;Arnold Schwarzenegger;Dolph Lundgren;Jean-Claude Van Damme;4
Singing without instrumental backup is called what?;A Capella;Chorale;Duet;Solo;1
In which film did Paul Newman and Robert Redford hold hands and jump into a river?;The Hustler;Cool Hand Luke;Butch Cassidy and the Sundance Kid;The Sting;3
Who discovered gold on the Witwatersrand?;Robert Moffat;George Harrison;Samuel Clemens;John Sutter;2
This gypsy swing guitarist nearly had his left hand destroyed by fire as a child?;Andres Segovia;Wes Montgomery;Django Reinhardt;Joe Pass;3
What did Dagwood give up to marry Blondie?;A family inheritance;A job as a chef;A fortune in diamonds;A career in politics;1
Barbara Streisand was the female lead in ""Hello, Dolly"". Who was the male lead?;Bing Crosby;Fred Astaire;Gene Kelly;Walter Matthau;4
How many Oscars did Ben Hur win?;Eleven;Nine;Seven;Ten;1
What was Daffy Duck's usual closing line?;You're despicable!;That's all, folks!;I'll be back!;Hasta la vista, baby!;1
Andre Rieu and the Johann Strauss Orchestra are famous for what musical love piece?;Love Story;Romeo and Juliet;The Blue Danube;Boléro;2
This actress appeared in "St. Elmo's Fire", "The Scarlett Letter", and "Striptease";Julia Roberts;Sharon Stone;Meg Ryan;Demi Moore;4
What's the smallest size grand piano?;Concert Grand;Parlor Grand;Studio Grand;A Baby Grand;4
Mentor of Titan had two children in the Marvel comics, Thanos and ____?;Drax;Gamora;Ero;Nebula;3
This Disney movie relies heavily on computer animation.;TRON;Toy Story;The Incredibles;Frozen;1
What is the name of the Indian musical instrument made popular in western rock by The Beatles and Ravi Shankar?;Tanpura;Sitar;Harmonium;Tabla;2
Who played Queen Amidala in the latest 'Star Wars' film?;Carrie Fisher;Daisy Ridley;Natalie Portman;Keira Knightley;3
Which Beatle was the first to release a solo record?;Paul McCartney;John Lennon;Ringo Starr;George Harrison;3
He starred in "City Lights";Buster Keaton;Laurel and Hardy;Charlie Chaplin;Harold Lloyd;3
Who shot Bruce Wayne's parents?;Two-Face;Ra's al Ghul;The Joker;Joe Chill;4
Where does George Jetson work?;Cogswell Cogs;Astro Aerospace;Rocket Recycling;Spacely Sprockets;4
What group refused to have their pictures taken while they were not in their makeup?;KISS;Slipknot;GWAR;Insane Clown Posse;1
"Number of new Supermen after his ""death""?";Three;Five;Four;Six;3
Who wrote and performed the soundtrack for "Live and Let Die"?;The Beatles;Paul McCartney and Wings;Elton John;David Bowie;2
Who did Charlie Becker play in 'The Wizard of Oz'?;The Tin Man;The Cowardly Lion;The Scarecrow;The Mayor of the Munchkins;4
He's So Fine, "One Fine Day" and "A Love So Fine" were hits for what fine group?;The Supremes;The Shirelles;The Chiffons;The Ronettes;3
What comic strip character is Beetle Bailey's sister?;Lucy van Pelt;Nancy;Sally Brown;Lois (of Hi and Lois);4
Who sang 'Islands In The Stream' with Dolly Parton?;Willie Nelson;Johnny Cash;Kenny Rogers;Waylon Jennings;3
Hang On Sloopy was the official rock song of which state?;California;Texas;Ohio;New York;3
Which singer is a former school teacher?;Cyndi Lauper;Sheryl Crow;Madonna;Cher;2
Who was Carl in 'Five Easy Pieces' before going to Walton's Mountain?;Nolte;Bridges;Sutherland;Waite;4
This term means to play moderately slow and gracefully?;Adagio;Lento;Andante;Moderato;1
Name the fastest mouse in all of Mexico;Topo Gigio;Jerry;Speedy Gonzalez;Mighty Mouse;3
"Which comedy duo did the famous, ""Who's on first?"" routine?";Laurel and Hardy;The Three Stooges;The Marx Brothers;Abbott and Costello;4
Which TV horse could talk?;Silver;Trigger;Mr. Ed;Champion;3
"Who played the lead in the movie ""Castaway""?";Tom Hanks;Leonardo DiCaprio;Kevin Costner;Russell Crowe;1
"What is the name of the skunk in the film, ""Bambi""?";Pepé Le Pew;Flower;Odeur;Stinky;2
This film starring Julie Andrews and Christopher Plummer won the best picture Oscar for 1965.;The Sound of Music;My Fair Lady;West Side Story;Mary Poppins;1
"Which character sang ""Come Out, Come Out, Wherever You Are"" in ""The Wizard of Oz""?";Glinda;Dorothy;The Scarecrow;The Wicked Witch;1
An alien creature in a funny hat has opposed both Bugs Bunny and Daffy Duck. Where is he from?;Jupiter;Saturn;Venus;Mars;4
What was Garth's last name in 'Wayne's World'?;Campbell;Spencer;Algar;Wayne;3
With which period in music do we associate composers such as Beethoven, Mozart and Haydn?;Baroque;Renaissance;Romantic;Classical;4
Charles Laughton played Quasimodo in this epic film.;Ben-Hur;The Hunchback of Notre Dame;Cleopatra;Spartacus;2
What was the first network series devoted entirely to rock and roll?;Hullabaloo;Ready Steady Go!;American Bandstand;Shindig;3
Gadzookie has a large, green friend. Who is he?;King Kong;The Hulk;Mothra;Godzilla;4
TV series: 'American ______';Idol;Horror Story;Bandstand;Crime Story;3
Secret Identities: Jonn Jonzz;Hawkeye;Cyborg;Martian Manhunter;Green Lantern;3
Who sang for 'Bad Company' and 'Free', then went out on his own?;Paul Rodgers;Robert Plant;Freddie Mercury;Roger Daltrey;1
Who sang about Desmond and Molly Jones?;The Kinks;The Rolling Stones;The Who;The Beatles;4
Which film preceded 'Magnum Force' and 'The Enforcer'?;The French Connection;Bullitt;Death Wish;Dirty Harry;4
Where is the Rock and Roll Hall Of Fame?;Los Angeles;New York City;Chicago;Cleveland, Ohio;4
What was the name of Barney and Betty Rubble's son?;Pebbles;Bam Bam;Dino;Spike;2
Which country and western singer is known as the 'Okie from Muskogee'?;Kris Kristofferson;Johnny Cash;Willie Nelson;Merle Haggard;4
Who sang 'Forever and Ever, Amen'?;Alan Jackson;Randy Travis;George Strait;Garth Brooks;2
"She played a Polish refugee in ""Sophie's Choice"".";Jodie Foster;Meryl Streep;Susan Sarandon;Glenn Close;2
Who were the 2 lead characters in the movie Life?;Chris Tucker and Jackie Chan;Chevy Chase and Dan Aykroyd;Eddie Murphy and Martin Lawrence;Will Smith and Tommy Lee Jones;3
Fifties rock 'n' roll was revived by what greased hair, T-shirted, TV frequenting group?;The Monkees;The Beach Boys;The Stray Cats;Sha Na Na;4
Who is Donald Duck's uncle?;Ludwig Von Drake;Scrooge McDuck;Professor Von Drake;Darkwing Duck;2
What was Daffy Duck's favorite insult?;You're despicable!;Up your nose with a rubber hose!;Eat my shorts!;That's all, folks!;1
Miss Buckley is secretary to what commanding officer?;General Halftrack;Sergeant Carter;Major Nelson;Colonel Klink;1
Crosby, Stills and Nash's debut album included a song about a girl and the colour of her eyes. Name that song.;Blue Suede Shoes;Brown Eyed Girl;Green-Eyed Lady;Sweet Judy Blue Eyes;4
Bugs always finds himself at the wrong end of a gun, usually toted by either Elmer Fudd or who?;Sylvester;Yosemite Sam;Porky Pig;Daffy Duck;2